,PhaA,PhaC,PhaE,PhaG,PhaD,PrpE,PhaF,FabG,PhaP,PhaZ,PhaB,PhaR,Pcs,maoC,PhaC2,PhaI,PhaQ,HadA,PhaJ,Cat2,PduP,Pct,sum,Biosample_UID,Bioproject_UID,Biosample_keywords,Organism,Number CDS,Assembly UID,phylum,class,order,family,genus,species,lineage,Genome_accesion,Amphora_total_markers,Amphora_markers,Amphora_unique_markers,FTPlink,Assembly_accession,N50,CheckM_completeness,CheckM_contamination
1247085835,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6834809,384320,['Pacific'],Phaeobacter gallaeciensis,3497,1239091,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter gallaeciensis,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 60890: 'Phaeobacter gallaeciensis', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 302485: 'Phaeobacter', 2854170: 'Roseobacteraceae'}",CP021040.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/381/385/GCF_002381385.1_ASM238138v1,GCF_002381385.1_ASM238138v1,3707098.0,99.42,0.0
1247089951,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6834800,384319,['Pacific'],Phaeobacter gallaeciensis,3497,1239081,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,Phaeobacter gallaeciensis,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 60890: 'Phaeobacter gallaeciensis', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 302485: 'Phaeobacter', 2854170: 'Roseobacteraceae'}",CP021047.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/381/365/GCF_002381365.1_ASM238136v1,GCF_002381365.1_ASM238136v1,3707098.0,99.42,0.0
2083443673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20526282,224116,['coast'],Hyphomonas sp. WL0036,3306,10738241,Proteobacteria,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Hyphomonas sp. WL0036,"{1: 'root', 2: 'Bacteria', 85: 'Hyphomonas', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 69657: 'Hyphomonadaceae', 131567: 'cellular organisms', 2630699: 'unclassified Hyphomonas', 2800060: 'Hyphomonadales', 2866160: 'Hyphomonas sp. WL0036'}",NZ_JAIEZP010000001.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/679/475/GCF_019679475.1_ASM1967947v1,GCF_019679475.1_ASM1967947v1,3496189.0,99.68,0.81
1391243455,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8999464,224116,"['seawater', 'sea']",Pelagicola sp. LXJ1103,2914,1698661,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Pelagicola,Pelagicola sp. LXJ1103,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 765413: 'Pelagicola', 2175247: 'Pelagicola sp. LXJ1103', 2614911: 'unclassified Pelagicola', 2854170: 'Roseobacteraceae'}",NZ_QFAR01000001.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/122/245/GCF_003122245.1_ASM312224v1,GCF_003122245.1_ASM312224v1,3040865.0,98.93,0.2
1337968190,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5687757,224116,['coast'],Pseudomonas putida,4735,1547791,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,"{1: 'root', 2: 'Bacteria', 286: 'Pseudomonas', 303: 'Pseudomonas putida', 1224: 'Proteobacteria', 1236: 'Gammaproteobacteria', 72274: 'Pseudomonadales', 131567: 'cellular organisms', 135621: 'Pseudomonadaceae', 136845: 'Pseudomonas putida group'}",NZ_MIND01000018.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/715/GCF_002906715.1_ASM290671v1,GCF_002906715.1_ASM290671v1,5269269.0,100.0,0.14
1149203639,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4370084,224116,['marine'],Shewanella psychrophila,5201,1009231,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella psychrophila,"{1: 'root', 2: 'Bacteria', 22: 'Shewanella', 1224: 'Proteobacteria', 1236: 'Gammaproteobacteria', 131567: 'cellular organisms', 135622: 'Alteromonadales', 225848: 'Shewanella psychrophila', 267890: 'Shewanellaceae'}",NZ_CP014782.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/305/GCF_002005305.1_ASM200530v1,GCF_002005305.1_ASM200530v1,6353406.0,99.47,1.34
1011808659,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3252591,224116,['marine'],Halocynthiibacter arcticus,3830,657991,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Halocynthiibacter,Halocynthiibacter arcticus,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 31989: 'Rhodobacteraceae', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 1579315: 'Halocynthiibacter', 1579316: 'Halocynthiibacter arcticus'}",NZ_CP014327.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/665/GCF_000812665.2_ASM81266v2,GCF_000812665.2_ASM81266v2,4329554.0,98.85,0.56
1861777945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15207347,224116,['tidal'],Altererythrobacter sp. JGD-16,2770,7294461,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Altererythrobacter sp. JGD-16,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204457: 'Sphingomonadales', 335929: 'Erythrobacteraceae', 361177: 'Altererythrobacter', 2614945: 'unclassified Altererythrobacter', 2743979: 'Altererythrobacter sp. JGD-16'}",NZ_JABWTA010000001.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/371/495/GCF_013371495.1_ASM1337149v1,GCF_013371495.1_ASM1337149v1,2020682.0,99.22,1.28
1838651824,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14082710,224116,"['seawater', 'sea']",Roseobacter ponti,3660,7049641,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter ponti,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 2433: 'Roseobacter', 28211: 'Alphaproteobacteria', 131567: 'cellular organisms', 204455: 'Rhodobacterales', 1891787: 'Roseobacter ponti', 2854170: 'Roseobacteraceae'}",NZ_CP048788.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/932/215/GCF_012932215.1_ASM1293221v1,GCF_012932215.1_ASM1293221v1,3861689.0,99.25,0.48
1679398682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11356842,224116,"['seawater', 'sea']",Sulfitobacter sp. BSw21498,2886,3305641,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter sp. BSw21498,"{1: 'root', 2: 'Bacteria', 1224: 'Proteobacteria', 28211: 'Alphaproteobacteria', 60136: 'Sulfitobacter', 131567: 'cellular organisms', 196795: 'unclassified Sulfitobacter', 204455: 'Rhodobacterales', 664426: 'Sulfitobacter sp. BSw21498', 2854170: 'Roseobacteraceae'}",NZ_CP040753.1,31,"['frr', 'rpsM', 'rplT', 'rplN', 'rplS', 'pgk', 'rpsC', 'rpsE', 'rpsB', 'rplA', 'rplF', 'rplE', 'nusA', 'dnaG', 'pyrG', 'infC', 'rplK', 'smpB', 'rplC', 'rpmA', 'rpsK', 'rpsI', 'rpoB', 'rplL', 'rpsJ', 'rplB', 'rplD', 'rpsS', 'tsf', 'rplP', 'rplM']",31.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/064/855/GCF_006064855.1_ASM606485v1,GCF_006064855.1_ASM606485v1,3097372.0,99.36,0.32
